,title,m_title,score,u_genre_id,m_id,,m_author,,author
423,The dream doctor,A country doctor,56,,JeweSCD,,"Jewett, Sarah Orne",,"Reeve, Arthur B."
424,The fortunate youth,The Fortunate Foundlings,74,,HaywEFF,,"Haywood, Eliza, 1693-1756",,"Locke, William John,"
425,Max Carrados,Mary Barton,52,,GaskEMB,,"Gaskell, Elizabeth Cleghorn",,"Bramah, Ernest,"
426,True Irish ghost stories,A True Relation OF THE APPARITION OF ONE Mrs. VEAL The next Day after Her DEATH: TO ONE Mrs. BARGRAVE At Canterbury. The 8th of September 1705.,52,,DefoDTR,,"Defoe, Daniel, 1661?-1731",,"Seymour, St. John D."
427,The lone wolf,The woman who did,60,,AlleGWW,,"Allen, Grant",,"Vance, Louis Joseph,"
428,At one-thirty,Antiquary,55,,ScotWA,,"Scott, Walter, Sir",,"Ostrander, Isabel,"
429,The Kiss of Apollo,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,59,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Bianchi, Martha Dickinson"
430,The making and breaking o,THE LIFE AND OPINIONS OF TRISTRAM SHANDY GENTLEMAN.,57,,SterLLO,,"Sterne, Laurence, 1713-1768",,"Cresswell, Clarice M."
431,Ten degrees backward,Quentin Durward,51,,ScotWQD,,"Scott, Walter, Sir",,"Fowler, Ellen Thorneycrof"
432,The boarded-up house,In the roar of the sea,53,,BariSIR,,"Baring-Gould, Sabine",,"Seaman, Augusta Huiell,"
433,Ruth Fielding and the gyp,The mill on the floss,52,,ElioGMF,,"Eliot, George",,"Emerson, Alice B."
434,"Dave Dashaway, air champi",Daisy chain,50,,YongCDC,,"Yonge, Charlotte Mary",,"Rockwood, Roy."
435,The Bobbsey twins at home,The house with the green shutters,57,,BrowGHW,,"Brown, George Douglas",,"Hope, Laura Lee."
436,The bride of a moment,Bride of Lammermoor,65,,ScotWBL,,"Scott, Walter, Sir",,"Wells, Carolyn,"
437,Liberty hall,Salem Chapel,50,,OlipMSC,,"Oliphant, Mrs. (Margaret)",,"Winterburn, Florence Hull"
438,The worn doorstep,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,65,,HaylWYW,,"Hayley, William, 1745-1820",,"Sherwood, Margaret Polloc"
439,The agony column,THE MONK: A ROMANCE.,56,,LewiMMR,,"Lewis, M. G. (Matthew Gregory), 1775-1818",,"Biggers, Earl Derr,"
440,His last bow,Last Man,50,,ShelMLM,,"Shelley, Mary Wollstonecraft",,"Doyle, Arthur Conan,"
441,Painted clay,Adeline Mowbray,52,,OpieAAM,,"Opie, Amelia Alderson",,"Kerr, Doris Boake,"
442,"Michael, brother of Jerry",In the roar of the sea,56,,BariSIR,,"Baring-Gould, Sabine",,"London, Jack,"
443,The Bobbsey twins in a gr,The Bostonians,61,,JameHB,,"James, Henry",,"Hope, Laura Lee."
444,The girl next door,The sign of four,59,,DoylASF,,"Doyle, Arthur Conan",,"Seaman, Augusta Huiell,"
445,The Bobbsey twins on Blue,The Bostonians,56,,JameHB,,"James, Henry",,"Hope, Laura Lee."
446,"Uncle Abner, master of my",Coelebs in search of a wife,55,,MoreHCI,,"More, Hannah",,"Post, Melville Davisson,"
447,Ruth Fielding in the Red ,The house with the green shutters,54,,BrowGHW,,"Brown, George Douglas",,"Emerson, Alice B."
448,"Great ghost stories, sele",The house with the green shutters,49,,BrowGHW,,"Brown, George Douglas",,"French, Joseph Lewis,"
449,Gudrid the Fair,Vanity Fair,54,,ThacWVF,,"Thackeray, William Makepeace",,"Hewlett, Maurice,"
450,The hound of Cullan,The sign of four,57,,DoylASF,,"Doyle, Arthur Conan",,"Webster, F. A. M."
451,The Bobbsey twins on the ,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,60,,HaylWYW,,"Hayley, William, 1745-1820",,"Hope, Laura Lee."
452,Philo Gubb,Phineas Redux,43,,TrolAPR,,"Trollope, Anthony",,"Butler, Ellis Parker,"
453,Tales from a famished lan,The Coral Island,54,,BallRCI,,"Ballantyne, R. M.",,"Hunt, Edward Eyre,"
454,The twenty-six clues,The entail,60,,GaltJE,,"Galt, John",,"Ostrander, Isabel,"
455,A thin ghost and others,North and south,58,,GaskENS,,"Gaskell, Elizabeth Cleghorn",,"James, M. R."
456,The Bobbsey twins in Wash,The Bostonians,62,,JameHB,,"James, Henry",,"Hope, Laura Lee."
457,Border ghost stories,Barchester Towers,54,,TrolABT,,"Trollope, Anthony",,"Pease, Howard,"
458,Transplanted;,Treasure Island,57,,StevRTI,,"Stevenson, Robert Louis",,"Atherton, Gertrude Frankl"
459,Ruth Fielding homeward bo,ARTHUR MERVYN; OR MEMOIRS OF THE YEAR 1793.,49,,BrowCAM,,"Brown, Charles Brockden, 1771-1810",,"Emerson, Alice B."
460,Jurgen,Warden,50,,TrolAW,,"Trollope, Anthony",,"Cabell, James Branch,"
461,Triple spies,Uncle Silas,52,,LefaJUS,,"Le Fanu, Joseph Sheridan",,"Snell, Roy J."
462,The tale of Grumpy Weasel,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,58,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Bailey, Arthur Scott,"
463,"""Queen Lucia""",Quentin Durward,50,,ScotWQD,,"Scott, Walter, Sir",,"Benson, E. F."
464,Voyage To Arcturus,One of our conquerors,51,,MereGOO,,"Meredith, George",,"Lindsay, David,"
465,Oh: you Tex!,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,46,,HaylWYW,,"Hayley, William, 1745-1820",,"Raine, William MacLeod,"
466,The Bobbsey twins in the ,The house with the green shutters,58,,BrowGHW,,"Brown, George Douglas",,"Hope, Laura Lee."
467,The schoolmaster of Hessville,Tess of the D'Urbervilles,56,,HardTTD,,"Hardy, Thomas",,"Martin, Helen Reimensnyder,"
468,The best psychic stories,The Bostonians,53,,JameHB,,"James, Henry",,"French, Joseph Lewis,"
469,Hearts of three,In the roar of the sea,67,,BariSIR,,"Baring-Gould, Sabine",,"London, Jack,"
470,The golden book of Spring,THE LIFE AND STRANGE SURPRIZING ADVENTURES OF ROBINSON CRUSOE Of YORK MARINER: Who lived Eight and Twenty Years all alone in an un-inhabited Island on the Coast of AMERICA near the Mouth of the Great River of OROONOQUE; Having been cast on Shore by Shipwreck wherein all the Men perished but himself.,54,,DefoDLS,,"Defoe, Daniel, 1661?-1731",,"Lindsay, Vachel,"
471,The prairie omnibus,The Virginians,61,,ThacWV,,"Thackeray, William Makepeace",,"Stringer, Arthur,"
472,The gloved hand;,The Coral Island,56,,BallRCI,,"Ballantyne, R. M.",,"Stevenson, Burton Egbert,"
473,The people of the ruins,The prophet of the Great Smoky Mountains,72,,MurfMPG,,"Murfree, Mary Noailles",,"Shanks, Edward,"
474,The mysterious affair at ,THE MYSTERIES of UDOLPHO A ROMANCE; INTERSPERSED WITH SOME PIECES OF POETRY.,63,,RadcAMU2,,"Radcliffe, Ann Ward, 1764-1823",,"Christie, Agatha,"
475,The light heart,The prophet of the Great Smoky Mountains,56,,MurfMPG,,"Murfree, Mary Noailles",,"Hewlett, Maurice,"
476,Master Eustace,Master of Ballantrae,59,,StevRMB,,"Stevenson, Robert Louis",,"James, Henry,"
477,Quin,Persuasion,43,,AustJP,,"Austen, Jane",,"Rice, Alice Caldwell Hega"
478,The cruise of the Kawa : ,The prophet of the Great Smoky Mountains,65,,MurfMPG,,"Murfree, Mary Noailles",,"Traprock, Walter E."
479,Messer Marco Polo,Peter Simple,48,,MarrFPS,,"Marryat, Frederick",,"Byrne, Donn,"
480,The dragon's secret,The professor,56,,BronCP,,"Bronte, Charlotte",,"Seaman, Augusta Huiell,"
481,The mucker,Three clerks,64,,TrolATC,,"Trollope, Anthony",,"Burroughs, Edgar Rice,"
482,Autumn,Last Man,57,,ShelMLM,,"Shelley, Mary Wollstonecraft",,"Nathan, Robert,"
483,Humorous ghost stories,Mayor of Casterbridge,51,,HardTMC,,"Hardy, Thomas",,AnonymousGhost3
484,The dragon in shallow wat,The woman in white,56,,CollWWI,,"Collins, Wilkie",,"Sackville-West, V."
485,West Broadway,A Tramp Abroad,52,,TwaiMTA,,"Twain, Mark",,"Putnam, Nina Wilcox,"
486,Madame Margot,A Tramp Abroad,52,,TwaiMTA,,"Twain, Mark",,"Bennett, John,"
487,The silver sixpence,The Heroine,60,,BarrEH,,"Barrett, Eaton Stannard",,"Sawyer, Ruth,"
488,Babbitt,Water-babies,42,,KingCW,,"Kingsley, Charles",,"Lewis, Sinclair,"
489,Theodore savage,The Coral Island,52,,BallRCI,,"Ballantyne, R. M.",,"Hamilton, Cicely,"
490,The unspeakable gentleman,The absentee,54,,EdgeMA,,"Edgeworth, Maria",,"Marquand, John P."
491,Ghosts and legends of Sou,A legend of Montrose,58,,ScotWLM,,"Scott, Walter, Sir",,"Munford, George Frederick"
492,Children of the market pl,The prophet of the Great Smoky Mountains,57,,MurfMPG,,"Murfree, Mary Noailles",,"Masters, Edgar Lee,"
493,Masterpieces of mystery,Master of Ballantrae,56,,StevRMB,,"Stevenson, Robert Louis",,"French, Joseph Lewis,"
494,The wild heart,Cloister and hearth,61,,ReadCCH,,"Reade, Charles",,"Squier, Emma-Lindsay,"
495,Father Justin,Catherine,64,,ThacWC,,"Thackeray, William Makepeace",,"Forrest, Michael D"
496,Well-- who killed him?,Well-beloved,47,,HardTW2,,"Hardy, Thomas",,"Dougherty, Harry V."
497,The vanishing of Betty Va,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,58,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Wells, Carolyn,"
498,The shorn lamb,The Coral Island,60,,BallRCI,,"Ballantyne, R. M.",,"Sampson, Emma Speed,"
499,Blackbeard: buccaneer,Black beauty,55,,SeweABB,,"Sewell, Anna",,"Paine, Ralph Delahaye,"
500,The chessmen of Mars,The sign of four,61,,DoylASF,,"Doyle, Arthur Conan",,"Burroughs, Edgar Rice,"
501,The unspeakable gentleman,The absentee,54,,EdgeMA,,"Edgeworth, Maria",,"Marquand, John P."
502,Cappy Ricks retires,St. Patrick's Eve,50,,LeveCSP,,"Lever, Charles James",,"Kyne, Peter B."
503,The young Alaskans on the,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,67,,HaylWYW,,"Hayley, William, 1745-1820",,"Hough, Emerson,"
504,The moth decides,The woman who did,61,,AlleGWW,,"Allen, Grant",,"Jewell, Edward Alden,"
505,Ruth Fielding on the St. ,The mill on the floss,62,,ElioGMF,,"Eliot, George",,"Emerson, Alice B."
506,The Bobbsey Twins at the ,The house with the green shutters,62,,BrowGHW,,"Brown, George Douglas",,"Hope, Laura Lee."
507,My northern exposure,Jude the obscure,56,,HardTJO,,"Hardy, Thomas",,"Traprock, Walter E."
508,Masterpieces of mystery,Master of Ballantrae,56,,StevRMB,,"Stevenson, Robert Louis",,"French, Joseph Lewis,"
509,Masterpieces of mystery,Master of Ballantrae,56,,StevRMB,,"Stevenson, Robert Louis",,"French, Joseph Lewis,"
510,Masterpieces of mystery,Master of Ballantrae,56,,StevRMB,,"Stevenson, Robert Louis",,"French, Joseph Lewis,"
511,Michael's evil deeds,Nicholas Nickleby,49,,DickCNN,,"Dickens, Charles",,"Oppenheim, E. Phillips,"
512,The red Redmaynes,The Ayrshire legatees,58,,GaltJAL,,"Galt, John",,"Phillpotts, Eden,"
513,The voice from the void,The mill on the floss,59,,ElioGMF,,"Eliot, George",,"Le Queux, William,"
514,Pellucidar,Pelham,50,,LyttEP,,"Lytton, Edward Bulwer Lytton",,"Burroughs, Edgar Rice,"
515,Men like gods,Henry Esmond,48,,ThacWHE,,"Thackeray, William Makepeace",,"Wells, H. G."
516,The green bay tree,Under the greenwood tree,67,,HardTUG,,"Hardy, Thomas",,"Bromfield, Louis,"
517,The red thumb mark,Hereward the wake,63,,KingCHW,,"Kingsley, Charles",,"Freeman, R. Austin,"
518,The safety pin,The Eustace diamonds,59,,TrolAED,,"Trollope, Anthony",,"Fletcher, J. S."
519,The moon men,The moonstone,72,,CollWM,,"Collins, Wilkie",,"Burroughs, Edgar Rice,"
520,No more parades,Annals of the parish,51,,GaltJAP,,"Galt, John",,"Ford, Ford Madox,"
521,A voice from the dark,Far from the madding crowd,55,,HardTFF,,"Hardy, Thomas",,"Phillpotts, Eden,"
522,The viaduct murder,Esther Waters,52,,MoorGEW,,"Moore, George",,"Knox, Ronald Arbuthnott,"
523,Poirot investigates,Prime Minister,48,,TrolAPM,,"Trollope, Anthony",,"Christie, Agatha,"
524,Flower phantoms,Cloister and hearth,47,,ReadCCH,,"Reade, Charles",,"Fraser, Ronald,"
525,Cloud: the smiter,Crotchet Castle,56,,PeacTCC,,"Peacock, Thomas Love",,"Gask, Arthur,"
526,The Benson murder case,The Bostonians,56,,JameHB,,"James, Henry",,"Van Dine, S. S"
527,Fifty candles,Daisy chain,50,,YongCDC,,"Yonge, Charlotte Mary",,"Biggers, Earl Derr,"
528,Lud-in-the-Mist,Weir of Hermiston,44,,StevRWH,,"Stevenson, Robert Louis",,"Mirrlees, Hope,"
529,Witch wood,Nether world,55,,GissGNW,,"Gissing, George",,"Buchan, John,"
530,To the lighthouse,The mill on the floss,53,,ElioGMF,,"Eliot, George",,"Woolf, Virginia,"
531,Job's niece,Nicholas Nickleby,50,,DickCNN,,"Dickens, Charles",,"Hill, Grace Livingston,"
532,Find the clock,Three clerks,54,,TrolATC,,"Trollope, Anthony",,"Keeler, Harry Stephen,"
533,A jury of her peers,A pair of blue eyes,63,,HardTPB,,"Hardy, Thomas",,"Glaspell, Susan,"
534,The Case of Charles Dexter Ward,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,57,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Lovecraft, H. P."
535,The door of death,In the roar of the sea,69,,BariSIR,,"Baring-Gould, Sabine",,"Esteven, John,"
536,Out of the silence,Tess of the D'Urbervilles,56,,HardTTD,,"Hardy, Thomas",,"Cox, Erle,"
537,The master mind of Mars,The Aspern papers,65,,,,"James, Henry",,"Burroughs, Edgar Rice,"
538,Sing Sing nights,King Solomon's mines,50,,HaggHKS,,"Haggard, H. Rider",,"Keeler, Harry Stephen,"
539,The footsteps at the lock,The house with the green shutters,57,,BrowGHW,,"Brown, George Douglas",,"Knox, Ronald Arbuthnott,"
540,The island of Captain Spa,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,62,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Wright, S. Fowler,"
541,Deep-Lake mystery,Prime Minister,52,,TrolAPM,,"Trollope, Anthony",,"Wells, Carolyn,"
542,The monster men,The moonstone,71,,CollWM,,"Collins, Wilkie",,"Burroughs, Edgar Rice,"
543,Dodsworth,Doctor Thorne,55,,TrolADT,,"Trollope, Anthony",,"Lewis, Sinclair,"
544,The planet of peril,The last days of Pompeii (Vol. 3/3),65,,LyttELD3,,"Lytton, Edward Bulwer Lytton, Baron",,"Kline, Otis Adelbert,"
545,Red Harvest,Richard Carvel,56,,ChurWRC,,"Churchill, Winston",,"Hammett, Dashiell,"
546,The Seven dials mystery,The Eustace diamonds,56,,TrolAED,,"Trollope, Anthony",,"Christie, Agatha,"
547,The poisoned chocolates c,The rise of Silas Lapham,53,,HoweWRS,,"Howells, William Dean",,"Berkeley, Anthony,"
548,Tanar of Pellucidar,Master of Ballantrae,51,,StevRMB,,"Stevenson, Robert Louis",,"Burroughs, Edgar Rice,"
549,Little Caesar,Little Dorrit,62,,DickCLD,,"Dickens, Charles",,"Burnett, W. R."
550,The lone house mystery,The house with the green shutters,57,,BrowGHW,,"Brown, George Douglas",,"Wallace, Edgar,"
551,The Piccadilly murder,The Coral Island,49,,BallRCI,,"Ballantyne, R. M.",,"Berkeley, Anthony,"
552,Her privates: we,Esther Waters,55,,MoorGEW,,"Moore, George",,"Manning, Frederic,"
553,Strong poison,Lorna Doone,50,,BlacRLD,,"Blackmore, R. D.",,"Sayers, Dorothy L."
554,War in heaven,Warden,53,,TrolAW,,"Trollope, Anthony",,"Williams, Charles,"
555,With Taylor on the Rio Gr,The mill on the floss,60,,ElioGMF,,"Eliot, George",,"Stratemeyer, Edward,"
556,Tarzan at the earth's cor,"Vikram and the vampire; or, Tales of Hindu devilry",54,,BurtRVV,,"Burton, Richard Francis, Sir",,"Burroughs, Edgar Rice,"
557,Maza of the moon,Diana of the crossways,58,,MereGDC,,"Meredith, George",,"Kline, Otis Adelbert,"
558,Last and first men,Loss and gain,58,,NewmJLG,,"Newman, John Henry",,"Stapledon, Olaf,"
559,The million pound deposit,The mill on the floss,65,,ElioGMF,,"Eliot, George",,"Oppenheim, E. Phillips,"
560,The Maltese falcon,The mill on the floss,62,,ElioGMF,,"Eliot, George",,"Hammett, Dashiell,"
561,The prince of peril,"The prince of India, or, Why Constantinople fell (Vol. 1/2)",70,,WallLPI,,"Wallace, Lew",,"Kline, Otis Adelbert,"
562,Many dimensions,Man and wife,52,,CollWMW,,"Collins, Wilkie",,"Williams, Charles,"
563,The night life of the god,THE YOUNG WIDOW; OR THE HISTORY OF CORNELIA SEDLEY IN A SERIES OF LETTERS.,64,,HaylWYW,,"Hayley, William, 1745-1820",,"Smith, Thorne,"
564,Black no more,Bleak House,58,,DickCBH,,"Dickens, Charles",,"Schuyler, George S."
565,The Cape Cod mystery,THE CASTLE of OTRANTO A STORY. Translated by WILLIAM MARSHAL Gent. From the Original ITALIAN of ONUPHRIO MURALTO CANON of the Church of St. NICHOLAS at OTRANTO.,56,,WalpHCO,,"Walpole, Horace, 1717-1797",,"Taylor, Phoebe Atwood"
566,The Dutch shoe mystery,The house with the green shutters,52,,BrowGHW,,"Brown, George Douglas",,"Queen, Ellery,"
567,The chance of a lifetime,The way of all flesh,59,,ButlSWA,,"Butler, Samuel",,"Hill, Grace Livingston,"
568,The face in the abyss,The mill on the floss,62,,ElioGMF,,"Eliot, George",,"Merritt, Abraham,"
569,Murder madness,Time machine,54,,WellHTM,,"Wells, H. G.",,"Leinster, Murray,"
570,Face in the abyss,The mill on the floss,58,,ElioGMF,,"Eliot, George",,"Merritt, Abraham,"
571,The boathouse riddle,The woman who did,59,,AlleGWW,,"Allen, Grant",,"Connington, J. J."
572,Brigands of the moon,Bride of Lammermoor,62,,ScotWBL,,"Scott, Walter, Sir",,"Cummings, Ray,"
573,Daughter of Fu Manchu,THE MONK: A ROMANCE.,49,,LewiMMR,,"Lewis, M. G. (Matthew Gregory), 1775-1818",,"Rohmer, Sax,"
574,The romantic adventures o,THE FARTHER ADVENTURES OF ROBINSON CRUSOE; Being the Second and Last Part OF HIS LIFE And of the STRANGE SURPRIZING ACCOUNTS of his TRAVELS Round three Parts of the Globe.,64,,DefoDFA,,"Defoe, Daniel, 1661?-1731",,"Armstrong, Martin,"
575,Death under sail,Peter Simple,57,,MarrFPS,,"Marryat, Frederick",,"Snow, C. P."
576,Last men in London,"Real Life In London, Volumes I. and II. Or, The Rambles And Adventures Of Bob Tallyho, Esq., And His Cousin, The Hon. Tom Dashall, Through The Metropolis; Exhibiting A Living Picture Of Fashionable Characters, Manners, And Amusements In High And Low Life (1821)",57,,BadcJRL,,"Badcock, John",,"Stapledon, Olaf,"
577,Lonely road,Daniel Deronda,56,,ElioGDD,,"Eliot, George",,"Shute, Nevil,"
578,Country dance,A country doctor,69,,JeweSCD,,"Jewett, Sarah Orne",,"Evans, Margiad,"
579,The moon of much gladness,THE MONK: A ROMANCE.,58,,LewiMMR,,"Lewis, M. G. (Matthew Gregory), 1775-1818",,"Bramah, Ernest,"
580,Brave new world,Nether world,59,,GissGNW,,"Gissing, George",,"Huxley, Aldous,"
581,The fountain,The entail,73,,GaltJE,,"Galt, John",,"Morgan, Charles,"
582,1919,Trilby (Vol. 1/3),10,,DumaGT,,"Du Maurier, George",,"Dos Passos, John,"
583,Light in August,Wives and daughters,47,,GaskEWD,,"Gaskell, Elizabeth Cleghorn",,"Faulkner, William"
584,Put out the light,The prophet of the Great Smoky Mountains,54,,MurfMPG,,"Murfree, Mary Noailles",,"White, Ethel Lina,"
585,Lost horizon,Doctor Thorne,56,,TrolADT,,"Trollope, Anthony",,"Hilton, James,"
586,Sometime,Peter Simple,50,,MarrFPS,,"Marryat, Frederick",,"Herrick, Robert,"
587,Murder at Monte Carlo,Under two flags,50,,OuidUT,,Ouida,,"Oppenheim, E. Phillips,"
588,The werewolf of Paris,"The Tower of London, a historical romance",60,,AinsWTL,,"Ainsworth, William Harrison",,"Endore, S. Guy,"
589,Bring the monkey,The moonstone,55,,CollWM,,"Collins, Wilkie",,"Franklin, Miles,"
590,The Plague court murders,The Aspern papers,54,,,,"James, Henry",,"Dickson, Carter,"
591,Magnus Merriman,Guy Mannering,57,,ScotWGM,,"Scott, Walter, Sir",,"Linklater, Eric,"
592,The talking sparrow murde,The sign of four,54,,DoylASF,,"Doyle, Arthur Conan",,"Teilhet, Darwin L."
593,Seven Gothic Tales,St. Leon : a tale of the sixteenth century,51,,GodwWSL2,,"Godwin, William",,"Dinesen, Isak,"
594,Mistress Pat,Esther Waters,48,,MoorGEW,,"Moore, George",,"Montgomery, L. M."
595,Crucible,Catherine,47,,ThacWC,,"Thackeray, William Makepeace",,"McKinney, J. P,"
596,The nursing home murder,The sign of four,62,,DoylASF,,"Doyle, Arthur Conan",,"Marsh, Ngaio,"
597,Regency buck,Three clerks,50,,TrolATC,,"Trollope, Anthony",,"Heyer, Georgette,"
598,It can't happen here,The Heroine,52,,BarrEH,,"Barrett, Eaton Stannard",,"Lewis, Sinclair,"
599,Tarzan and the leopard me,"Vikram and the vampire; or, Tales of Hindu devilry",54,,BurtRVV,,"Burton, Richard Francis, Sir",,"Burroughs, Edgar Rice,"
600,Death at the president's ,The house with the green shutters,53,,BrowGHW,,"Brown, George Douglas",,"Innes, Michael,"
601,The trouble I've seen,The house with the green shutters,62,,BrowGHW,,"Brown, George Douglas",,"Gellhorn, Martha,"
602,Murder in the madhouse,Jude the obscure,58,,HardTJO,,"Hardy, Thomas",,"Latimer, Jonathan,"
603,Deep summer,Peter Simple,52,,MarrFPS,,"Marryat, Frederick",,"Bristow, Gwen,"
604,Star-begotten,St. Leon,48,,GodwWSL,,"Godwin, William",,"Wells, H. G."
605,The harvest murder,The provost,55,,GaltJP,,"Galt, John",,"Rhode, John"
606,Of mice and men,Dombey and Son,62,,DickCDS,,"Dickens, Charles",,"Steinbeck, John,"
607,Zero to eighty,Weir of Hermiston,52,,StevRWH,,"Stevenson, Robert Louis",,"Pseudoman, Akkad,"
608,Dancers in mourning,Princess and  goblin,51,,MacDGPG,,"MacDonald, George",,"Allingham, Margery,"
609,Juan in China,Daisy chain,58,,YongCDC,,"Yonge, Charlotte Mary",,"Linklater, Eric,"
610,The single hound,The sign of four,62,,DoylASF,,"Doyle, Arthur Conan",,"Sarton, May,"
611,The adventure of Wyndham ,THE ADVENTURES OF HUGH TREVOR. BY THOMAS HOLCROFT.,69,,HolcTAH,,"Holcroft, Thomas, 1745-1809",,"Wright, S. Fowler,"
612,The godwits fly,The Coral Island,52,,BallRCI,,"Ballantyne, R. M.",,"Hyde, Robin,"
613,Rebecca,Rebecca and Rowena,56,,ThacWRR,,"Thackeray, William Makepeace",,"Du Maurier, Daphne,"
614,Murder will speak,Under two flags,50,,OuidUT,,Ouida,,"Connington, J. J."
615,The doomsday men,The moonstone,55,,CollWM,,"Collins, Wilkie",,"Priestley, J. B."
616,To wake the dead,The woman who did,55,,AlleGWW,,"Allen, Grant",,"Carr, John Dickson"
617,The lad and the lion,The mill on the floss,68,,ElioGMF,,"Eliot, George",,"Burroughs, Edgar Rice,"
618,The stoneware monkey,The Eustace diamonds,60,,TrolAED,,"Trollope, Anthony",,"Freeman, R. Austin,"
619,Death in the house,The mill on the floss,62,,ElioGMF,,"Eliot, George",,"Berkeley, Anthony,"
620,This time a better earth,The absentee,56,,EdgeMA,,"Edgeworth, Maria",,"Allan, Ted,"
621,Mountain cat Murders,Quentin Durward,51,,ScotWQD,,"Scott, Walter, Sir",,"Stout, Rex,"
622,The big sleep,The absentee,64,,EdgeMA,,"Edgeworth, Maria",,"Chandler, Raymond,"
623,Farewell My Lovely,Well-beloved,53,,HardTW2,,"Hardy, Thomas",,"Chandler, Raymond,"
624,The dead can tell,The entail,59,,GaltJE,,"Galt, John",,"Reilly, Helen,"
625,The headless lady,The Coral Island,61,,BallRCI,,"Ballantyne, R. M.",,"Rawson, Clayton,"
626,Landfall,Roland Cashel,57,,LeveCRC,,"Lever, Charles James",,"Shute, Nevil,"
627,Greyfriars Bobby,Diary of a nobody,48,,GrosGDN,,"Grossmith, George",,"Atkinson, Eleanor,"
628,N or M?,No name,57,,CollWNN,,"Collins, Wilkie",,"Christie, Agatha,"
629,The metal monster,The moonstone,67,,CollWM,,"Collins, Wilkie",,"Merritt, Abraham,"
630,Faro's daughter,Wives and daughters,59,,GaskEWD,,"Gaskell, Elizabeth Cleghorn",,"Heyer, Georgette,"
631,The Screwtape letters,The Ayrshire legatees,62,,GaltJAL,,"Galt, John",,"Lewis, C. S."
632,Sam Small flies again (Th,Small house at Allington,53,,TrolASH,,"Trollope, Anthony",,"Knight, Eric,"
633,Burn: witch: burn!,Jude the obscure,47,,HardTJO,,"Hardy, Thomas",,"Merritt, Abraham,"
634,The door,The professor,67,,BronCP,,"Bronte, Charlotte",,"Rinehart, Mary Roberts,"
635,Wolf in man's clothing,King Solomon's mines,48,,HaggHKS,,"Haggard, H. Rider",,"Eberhart, Mignon Good"
636,The case of the empty tin,The prophet of the Great Smoky Mountains,67,,MurfMPG,,"Murfree, Mary Noailles",,"Gardner, Erle Stanley,"
637,The big midget murders,The sign of four,53,,DoylASF,,"Doyle, Arthur Conan",,"Rice, Craig,"
638,A man lay dead,Harry and Lucy concluded : being the last part of early lessons (Vol. 1/4),55,,EdgeMHL,,"Edgeworth, Maria",,"Marsh, Ngaio,"
639,Five little pigs,Little Dorrit,55,,DickCLD,,"Dickens, Charles",,"Christie, Agatha,"
640,Darkness and the light,Princess and  goblin,62,,MacDGPG,,"MacDonald, George",,"Stapledon, Olaf,"
641,Colour scheme,Roland Cashel,46,,LeveCRC,,"Lever, Charles James",,"Marsh, Ngaio,"
642,Miss Silver deals with de,Alice's adventures in Wonderland,46,,CarrLAA,,"Carroll, Lewis",,"Wentworth, Patricia,"
643,Caught,Black beauty,44,,SeweABB,,"Sewell, Anna",,"Green, Henry,"
644,Double indemnity,Dombey and Son,53,,DickCDS,,"Dickens, Charles",,"Cain, James M."
645,There was an old woman,The last days of Pompeii (Vol. 1/3),57,,LyttELD,,"Lytton, Edward Bulwer Lytton, Baron",,"Queen, Ellery,"
646,Land of terror,A legend of Montrose,59,,ScotWLM,,"Scott, Walter, Sir",,"Burroughs, Edgar Rice,"
647,No good from a corpse,News from nowhere,53,,MorrWNF,,"Morris, William",,"Brackett, Leigh,"
648,The delicate ape,The Aspern papers,61,,,,"James, Henry",,"Hughes, Dorothy B."
649,Stephen hero,The Heroine,70,,BarrEH,,"Barrett, Eaton Stannard",,"Joyce, James,"
650,Winter wheat,Cloister and hearth,58,,ReadCCH,,"Reade, Charles",,"Walker, Mildred"
